open_time,close_time,O,H,L,C,V_Q,V_C
2017-12-17 19:15:00,2017-12-17 19:29:59.999000,19625.97,19625.99,19552.0,19590.09,2023954.27661719,103.333407
2017-12-17 19:30:00,2017-12-17 19:44:59.999000,19571.15,19680.0,19561.2,19645.04,1886358.08810172,96.272351
2017-12-17 19:45:00,2017-12-17 19:59:59.999000,19661.77,19710.0,19608.0,19709.5,1766250.21887905,89.79167
2017-12-17 20:00:00,2017-12-17 20:14:59.999000,19709.5,19798.68,19680.2,19756.02,1730243.07063043,87.616697
2017-12-17 20:15:00,2017-12-17 20:29:59.999000,19756.0,19772.9,19662.38,19662.86,1902925.14212359,96.582994
2017-12-17 20:30:00,2017-12-17 20:44:59.999000,19679.98,19705.0,19552.0,19560.49,2650569.79195912,135.010078
2017-12-17 20:45:00,2017-12-17 20:59:59.999000,19552.0,19560.49,19358.0,19358.0,3167319.39600428,162.610836
2017-12-17 21:00:00,2017-12-17 21:14:59.999000,19369.0,19413.0,19264.0,19412.82,2337419.18892962,120.764479
2017-12-17 21:15:00,2017-12-17 21:29:59.999000,19399.99,19600.0,19399.99,19505.98,1975229.66453654,101.233396
2017-12-17 21:30:00,2017-12-17 21:44:59.999000,19525.0,19579.43,19412.82,19539.99,1088235.64784883,55.799433
2017-12-17 21:45:00,2017-12-17 21:59:59.999000,19529.13,19607.22,19520.26,19540.02,1799450.90541814,91.985272
2017-12-17 22:00:00,2017-12-17 22:14:59.999000,19541.0,19565.99,19412.83,19520.0,2006837.66730273,102.982804
2017-12-17 22:15:00,2017-12-17 22:29:59.999000,19516.0,19550.0,19413.0,19450.0,1949757.59093088,100.139658
2017-12-17 22:30:00,2017-12-17 22:44:59.999000,19433.0,19509.0,19431.06,19461.8,2090278.83352645,107.403818
2017-12-17 22:45:00,2017-12-17 22:59:59.999000,19450.03,19495.0,19100.0,19235.0,2836668.12979225,146.902694
2017-12-17 23:00:00,2017-12-17 23:14:59.999000,19202.0,19350.0,19200.5,19248.29,2787143.19119793,144.633526
2017-12-17 23:15:00,2017-12-17 23:29:59.999000,19248.14,19248.14,18846.0,18940.0,2971174.6904733,156.145596
2017-12-17 23:30:00,2017-12-17 23:44:59.999000,18940.0,19200.0,18919.98,19160.23,2336199.52942214,122.194776
2017-12-17 23:45:00,2017-12-17 23:59:59.999000,19160.23,19229.0,19010.0,19220.0,1386717.21789569,72.541012
2017-12-18 00:00:00,2017-12-18 00:14:59.999000,19220.0,19394.0,19206.0,19329.8,1568272.02976549,81.258004
2017-12-18 00:15:00,2017-12-18 00:29:59.999000,19300.01,19330.0,19010.0,19050.0,1622777.44368384,84.951314
2017-12-18 00:30:00,2017-12-18 00:44:59.999000,19049.81,19150.21,19010.02,19128.49,1769850.46509666,92.772576
2017-12-18 00:45:00,2017-12-18 00:59:59.999000,19128.98,19128.98,18825.0,18950.0,2667163.84094808,140.813802
2017-12-18 01:00:00,2017-12-18 01:14:59.999000,18946.66,19171.7,18922.02,19101.24,1271387.46684127,66.651271
2017-12-18 01:15:00,2017-12-18 01:29:59.999000,19101.25,19123.0,19050.0,19070.01,1053269.22663676,55.200991
2017-12-18 01:30:00,2017-12-18 01:44:59.999000,19070.01,19179.5,19068.08,19173.14,1528830.38780652,79.857605
2017-12-18 01:45:00,2017-12-18 01:59:59.999000,19150.0,19219.54,19070.01,19130.0,1597938.44751333,83.422672
2017-12-18 02:00:00,2017-12-18 02:14:59.999000,19130.0,19145.19,18909.0,18929.98,3019236.76658735,158.677169
2017-12-18 02:15:00,2017-12-18 02:29:59.999000,18967.45,19078.75,18909.0,19000.0,1711877.27998966,90.170075
2017-12-18 02:30:00,2017-12-18 02:44:59.999000,19000.0,19020.0,18909.13,18909.54,1931655.03043756,101.851433
2017-12-18 02:45:00,2017-12-18 02:59:59.999000,18909.52,18982.0,18734.0,18742.0,2163782.6225549,114.58388
2017-12-18 03:00:00,2017-12-18 03:14:59.999000,18741.0,18900.0,18596.0,18718.27,1824820.0239456,97.238026
2017-12-18 03:15:00,2017-12-18 03:29:59.999000,18776.5,18847.98,18523.0,18607.0,2481340.87803971,133.094519
2017-12-18 03:30:00,2017-12-18 03:44:59.999000,18621.0,18650.0,18525.0,18537.0,1650714.14852904,88.928977
2017-12-18 03:45:00,2017-12-18 03:59:59.999000,18536.7,18850.0,18536.7,18845.91,1345948.77108256,72.008957
2017-12-18 04:00:00,2017-12-18 04:14:59.999000,18845.91,19140.0,18745.27,19055.98,2623423.26157476,137.949243
2017-12-18 04:15:00,2017-12-18 04:29:59.999000,19055.99,19200.0,18901.35,19098.99,3260315.78291931,170.652127
2017-12-18 04:30:00,2017-12-18 04:44:59.999000,19098.99,19099.99,18901.4,19098.44,1796346.51216642,94.436881
2017-12-18 04:45:00,2017-12-18 04:59:59.999000,19098.98,19120.03,18950.01,19025.0,829649.31605136,43.604436
2017-12-18 05:00:00,2017-12-18 05:14:59.999000,19019.7,19058.48,18901.0,18988.29,1548836.62488646,81.624255
2017-12-18 05:15:00,2017-12-18 05:29:59.999000,18981.52,19089.0,18956.0,19015.04,1130857.34530975,59.436939
2017-12-18 05:30:00,2017-12-18 05:44:59.999000,19000.04,19046.21,18927.0,18961.46,1125724.35981166,59.374945
2017-12-18 05:45:00,2017-12-18 05:59:59.999000,18961.45,18999.99,18930.11,18979.97,867826.32243543,45.753974
2017-12-18 06:00:00,2017-12-18 06:14:59.999000,18979.99,19090.2,18929.03,19050.49,1729297.54625023,91.091888
2017-12-18 06:15:00,2017-12-18 06:29:59.999000,19050.49,19200.0,19050.11,19075.0,1612097.70214924,84.323729
2017-12-18 06:30:00,2017-12-18 06:44:59.999000,19105.93,19300.91,19070.02,19300.91,1640733.2830317,85.66674
2017-12-18 06:45:00,2017-12-18 06:59:59.999000,19300.91,19449.48,19139.0,19243.41,1780060.45290023,92.193272
2017-12-18 07:00:00,2017-12-18 07:14:59.999000,19271.73,19390.47,18700.0,19039.98,4737638.67797313,249.662148
2017-12-18 07:15:00,2017-12-18 07:29:59.999000,19069.25,19095.78,18510.0,18789.0,4105597.97979323,218.913961
2017-12-18 07:30:00,2017-12-18 07:44:59.999000,18720.01,18992.0,18600.0,18900.02,2037745.86290149,108.619449
2017-12-18 07:45:00,2017-12-18 07:59:59.999000,18905.0,18939.0,18759.12,18860.02,1527226.58370203,81.1153
2017-12-18 08:00:00,2017-12-18 08:14:59.999000,18860.04,18897.16,18711.09,18789.98,2032416.8920741,108.07059
2017-12-18 08:15:00,2017-12-18 08:29:59.999000,18789.98,18790.0,18499.98,18500.0,2107944.13361017,113.054096
2017-12-18 08:30:00,2017-12-18 08:44:59.999000,18510.0,18598.0,18210.0,18300.0,4578802.02679002,249.099156
2017-12-18 08:45:00,2017-12-18 08:59:59.999000,18300.0,18497.0,17800.1,17849.98,5656350.11038822,312.440455
2017-12-18 09:00:00,2017-12-18 09:14:59.999000,17810.0,18040.67,17029.98,17151.0,7945919.79243483,454.492873
2017-12-18 09:15:00,2017-12-18 09:29:59.999000,17151.0,17495.0,17030.0,17230.0,6032218.60721115,350.226095
2017-12-18 09:30:00,2017-12-18 09:44:59.999000,17230.0,17995.0,17227.01,17900.02,5696179.36603294,322.484978
2017-12-18 09:45:00,2017-12-18 09:59:59.999000,17900.03,18294.0,17801.0,18142.32,4622715.93439691,256.31669
2017-12-18 10:00:00,2017-12-18 10:14:59.999000,18142.32,18695.0,18129.98,18554.0,2983801.50308263,162.367776
2017-12-18 10:15:00,2017-12-18 10:29:59.999000,18554.0,18599.94,18287.52,18355.0,3256726.7503364,176.700404
2017-12-18 10:30:00,2017-12-18 10:44:59.999000,18355.0,18355.0,18000.0,18235.0,4133443.48336563,227.684175
2017-12-18 10:45:00,2017-12-18 10:59:59.999000,18293.62,18350.0,18112.0,18238.94,2767647.95430031,151.997665
2017-12-18 11:00:00,2017-12-18 11:14:59.999000,18189.98,18455.28,18189.98,18364.01,2563566.9797013,139.703692
2017-12-18 11:15:00,2017-12-18 11:29:59.999000,18364.01,18640.0,18364.01,18600.0,2188265.24630246,118.166936
2017-12-18 11:30:00,2017-12-18 11:44:59.999000,18559.02,18620.94,18350.0,18500.01,1718313.74165028,92.987493
2017-12-18 11:45:00,2017-12-18 11:59:59.999000,18500.01,18610.0,18437.0,18570.03,982898.17646138,53.078586
2017-12-18 12:00:00,2017-12-18 12:14:59.999000,18560.03,18729.19,18560.0,18602.49,1962966.93433347,105.155071
2017-12-18 12:15:00,2017-12-18 12:29:59.999000,18627.0,18890.98,18556.22,18800.0,2240602.18845685,119.756082
2017-12-18 12:30:00,2017-12-18 12:44:59.999000,18800.0,18988.0,18771.47,18800.01,2008231.22367943,106.493162
2017-12-18 12:45:00,2017-12-18 12:59:59.999000,18800.04,18856.23,18656.76,18700.11,1850885.90174931,98.591204
2017-12-18 13:00:00,2017-12-18 13:14:59.999000,18700.11,18775.08,18659.79,18690.0,2407919.42306502,128.689805
2017-12-18 13:15:00,2017-12-18 13:29:59.999000,18704.95,18899.0,18685.24,18828.15,1852556.47854235,98.699119
2017-12-18 13:30:00,2017-12-18 13:44:59.999000,18829.5,18934.99,18755.02,18830.0,1633653.96925017,86.753638
2017-12-18 13:45:00,2017-12-18 13:59:59.999000,18830.0,18974.51,18745.01,18920.15,1767732.0273804,93.669903
2017-12-18 14:00:00,2017-12-18 14:14:59.999000,18920.15,18997.75,18806.74,18900.16,1778098.41082723,94.120403
2017-12-18 14:15:00,2017-12-18 14:29:59.999000,18900.16,19000.0,18900.16,19000.0,1869737.41490766,98.555975
2017-12-18 14:30:00,2017-12-18 14:44:59.999000,18995.0,19006.61,18880.59,18929.26,1587854.52718509,83.681497
2017-12-18 14:45:00,2017-12-18 14:59:59.999000,18929.24,19000.0,18875.05,18939.94,1454019.66757324,76.851649
2017-12-18 15:00:00,2017-12-18 15:14:59.999000,18939.97,18949.0,18860.2,18879.5,1312918.26187944,69.499646
2017-12-18 15:15:00,2017-12-18 15:29:59.999000,18880.0,18899.0,18801.0,18830.06,1498815.92177849,79.478387
2017-12-18 15:30:00,2017-12-18 15:44:59.999000,18898.0,18898.25,18820.02,18833.5,1394742.11938122,73.997152
2017-12-18 15:45:00,2017-12-18 15:59:59.999000,18855.0,18860.0,18510.0,18576.99,2535800.41925978,135.671505
2017-12-18 16:00:00,2017-12-18 16:14:59.999000,18576.99,18794.47,18575.99,18745.0,1697946.26553253,90.807022
2017-12-18 16:15:00,2017-12-18 16:29:59.999000,18745.0,18789.99,18701.02,18730.38,1397490.70105489,74.528408
2017-12-18 16:30:00,2017-12-18 16:44:59.999000,18730.39,18869.5,18700.0,18800.02,2054301.85264196,109.588538
2017-12-18 16:45:00,2017-12-18 16:59:59.999000,18832.57,19046.0,18800.04,18901.43,2129212.10804191,112.424892
2017-12-18 17:00:00,2017-12-18 17:14:59.999000,18901.95,18996.22,18700.28,18711.0,2409283.41506546,128.039982
2017-12-18 17:15:00,2017-12-18 17:29:59.999000,18710.97,18711.91,18510.0,18699.0,2259807.96042118,121.433314
2017-12-18 17:30:00,2017-12-18 17:44:59.999000,18685.0,18722.65,18510.05,18647.15,1298849.8982171,69.668708
2017-12-18 17:45:00,2017-12-18 17:59:59.999000,18647.17,18784.77,18640.0,18680.48,1293108.84960278,69.107981
2017-12-18 18:00:00,2017-12-18 18:14:59.999000,18680.48,18719.77,18656.98,18680.95,59882.18909787,3.204599
2017-12-18 18:15:00,2017-12-18 18:29:59.999000,18719.77,18822.51,18657.22,18719.77,1735448.26248448,92.568982
2017-12-18 18:30:00,2017-12-18 18:44:59.999000,18719.77,18867.08,18681.29,18855.8,1649757.055756,88.054536
2017-12-18 18:45:00,2017-12-18 18:59:59.999000,18792.18,18975.5,18725.0,18753.31,1958941.74268824,103.986262
2017-12-18 19:00:00,2017-12-18 19:14:59.999000,18753.31,18906.83,18731.0,18898.98,1905075.99307285,101.259616
2017-12-18 19:15:00,2017-12-18 19:29:59.999000,18898.99,19092.66,18897.0,19031.0,1812503.4424918,95.617575
2017-12-18 19:30:00,2017-12-18 19:44:59.999000,19035.0,19109.99,18943.4,19065.02,2149441.36532875,112.992367
2017-12-18 19:45:00,2017-12-18 19:59:59.999000,19065.02,19200.1,19065.02,19126.66,2039926.9861855,106.559972
2017-12-18 20:00:00,2017-12-18 20:14:59.999000,19116.11,19300.0,19114.97,19212.23,2470187.72620378,128.918315
2017-12-18 20:15:00,2017-12-18 20:29:13.419000,19212.23,19212.26,19100.02,19161.0,2167669.89264205,113.109903
2017-12-18 21:30:00,2017-12-18 21:44:59.999000,19161.0,19201.0,18736.5,18822.59,3776625.5968075,199.924211
2017-12-18 21:45:00,2017-12-18 21:59:59.999000,18814.18,18900.0,18111.65,18606.0,4401055.64063714,235.124778
2017-12-18 22:00:00,2017-12-18 22:14:59.999000,18649.98,18674.98,18122.98,18340.85,3658714.85354265,199.123757
2017-12-18 22:15:00,2017-12-18 22:29:59.999000,18340.0,18579.95,18021.98,18252.6,3966619.02430273,217.314447
2017-12-18 22:30:00,2017-12-18 22:44:59.999000,18199.96,18550.0,18136.94,18411.0,2375697.5356219,129.289468
2017-12-18 22:45:00,2017-12-18 22:59:59.999000,18411.0,18600.02,18411.0,18548.06,2083554.40510992,112.487835
2017-12-18 23:00:00,2017-12-18 23:14:59.999000,18548.04,18675.05,18507.0,18613.13,2016987.82444951,108.389556
2017-12-18 23:15:00,2017-12-18 23:29:59.999000,18613.13,18780.24,18500.11,18779.48,1820180.34361995,97.583178
2017-12-18 23:30:00,2017-12-18 23:44:59.999000,18779.48,18888.0,18700.0,18701.0,1670342.06346071,88.975698
2017-12-18 23:45:00,2017-12-18 23:59:59.999000,18800.0,18800.0,18606.58,18670.0,1967347.76110621,105.270955
2017-12-19 00:00:00,2017-12-19 00:14:59.999000,18670.0,18744.56,18606.59,18644.98,1720775.55532085,92.091559
2017-12-19 00:15:00,2017-12-19 00:29:59.999000,18608.52,18650.0,18500.04,18649.99,2127069.06614583,114.621496
2017-12-19 00:30:00,2017-12-19 00:44:59.999000,18649.52,18749.99,18594.0,18629.5,1124015.64511599,60.236845
2017-12-19 00:45:00,2017-12-19 00:59:59.999000,18652.0,18652.0,18431.09,18469.4,1482614.78486232,80.082796
2017-12-19 01:00:00,2017-12-19 01:14:59.999000,18469.0,18530.0,18313.0,18478.03,1755788.66234762,95.168673
2017-12-19 01:15:00,2017-12-19 01:29:59.999000,18496.77,18644.71,18478.06,18584.97,1679829.37103992,90.720813
2017-12-19 01:30:00,2017-12-19 01:44:59.999000,18585.0,18684.67,18559.0,18640.0,1651740.9542391,88.761788
2017-12-19 01:45:00,2017-12-19 01:59:59.999000,18640.0,18690.0,18539.0,18634.0,1920835.75454427,103.012942
2017-12-19 02:00:00,2017-12-19 02:14:59.999000,18600.02,18705.0,18324.5,18382.03,1296649.00862519,70.165085
2017-12-19 02:15:00,2017-12-19 02:29:59.999000,18382.06,18548.0,18338.43,18502.0,1442457.74509173,78.444786
2017-12-19 02:30:00,2017-12-19 02:44:59.999000,18502.0,18599.0,18212.0,18263.11,2531046.83758686,137.44326
2017-12-19 02:45:00,2017-12-19 02:59:59.999000,18263.1,18358.52,18100.2,18260.94,1696817.62120863,93.160062
2017-12-19 03:00:00,2017-12-19 03:14:59.999000,18260.94,18598.98,18220.0,18500.02,2054838.27063133,111.604907
2017-12-19 03:15:00,2017-12-19 03:29:59.999000,18500.02,18599.9,18315.0,18477.63,1487667.31659345,80.456898
